Company,Normalized name,Bonus %,Cash %,Total %,Book Close,Fiscal Year,Status
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,21%,0%,21%,2022-03-31,2077/2078,Closed
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,8.85%,0%,8.85%,2021-03-31,2076/2077,Closed
ADBL,Agriculture Development Bank Limited,3%,7.53%,10.53%,2024-12-31,2080/2081,Closed
ADBL,Agriculture Development Bank Limited,2%,11%,13%,2023-03-14,2078/2079,Closed
ADBL,Agriculture Development Bank Limited,20%,1.05%,21.05%,2021-12-31,2077/2078,Closed
ADBL,Agriculture Development Bank Limited,15%,0.79%,15.79%,2020-12-30,2076/2077,Closed
ADBL,Agriculture Development Bank Limited,6%,24%,30%,2019-12-29,2075/2076,Closed
ADBL,Agriculture Development Bank Limited,6%,15.05%,21.05%,2019-02-28,2074/2075,Closed
ADBL,Agriculture Development Bank Limited,20%,1.05%,21.05%,2018-01-29,2073/2074,Closed
ADBL,Agriculture Development Bank Limited,20%,1.05%,21.05%,2017-04-03,2072/2073,Closed
ADBL,Agriculture Development Bank Limited,15%,0.79%,15.79%,2016-04-11,2071/2072,Closed
ADBL,Agriculture Development Bank Limited,7%,8%,15%,2015-04-19,2070/2071,Closed
ADBL,Agriculture Development Bank Limited,0%,31.58%,31.58%,2014-05-02,2069/2070,Closed
ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,20%,1.05%,21.05%,2023-02-28,2078/2079,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,3%,0.16%,3.16%,2024-10-21,2080/2081,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,8%,0.42%,8.42%,2023-02-01,2078/2079,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,10%,0.53%,10.53%,2021-09-27,2077/2078,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,5%,0.26%,5.26%,2020-12-11,2076/2077,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,7%,0.37%,7.37%,2019-12-26,2075/2076,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,10%,0.53%,10.53%,2017-08-25,2073/2074,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,10%,0.53%,10.53%,2016-08-15,2072/2073,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,0%,11%,11%,2015-08-27,2071/2072,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,10%,0.53%,10.53%,2014-08-22,2070/2071,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,15%,0.75%,15.75%,2013-08-09,2069/2070,Closed
AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,30%,1.58%,31.58%,2023-01-17,2078/2079,Closed
AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,19%,1%,20%,2022-01-02,2077/2078,Closed
AKPL,Arun Kabeli Power Ltd.,10%,0.53%,10.53%,2022-11-04,2078/2079,Closed
AKPL,Arun Kabeli Power Ltd.,17%,0.89%,17.89%,2021-08-31,2077/2078,Closed
AKPL,Arun Kabeli Power Ltd.,5.71%,0.29%,6%,2020-11-27,2076/2077,Closed
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,14.25%,0.75%,15%,2024-11-10,2080/2081,Closed
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,14.29%,0.71%,15%,2023-03-10,2078/2079,Closed
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,25%,1.32%,26.32%,2021-10-29,2077/2078,Closed
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,15%,0.79%,15.79%,2020-12-27,2076/2077,Closed
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,12%,0.63%,12.63%,2019-10-02,2075/2076,Closed
ALICL,Asian Life Insurance Co. Limited,3.60%,0%,3.60%,2025-07-04,2080/2081,Closed
ALICL,Asian Life Insurance Co. Limited,7.75%,0.41%,8.16%,2024-02-20,2079/2080,Closed
ALICL,Asian Life Insurance Co. Limited,8.50%,0.45%,8.95%,2023-04-21,2078/2079,Closed
ALICL,Asian Life Insurance Co. Limited,14.50%,0.76%,15.26%,2022-09-20,2077/2078,Closed
ALICL,Asian Life Insurance Co. Limited,25%,2%,27%,2022-01-26,2076/2077,Closed
ALICL,Asian Life Insurance Co. Limited,4%,0.21%,4.21%,2018-05-18,2073/2074,Closed
ALICL,Asian Life Insurance Co. Limited,20%,1.05%,21.05%,2017-03-16,2072/2073,Closed
ALICL,Asian Life Insurance Co. Limited,28.50%,1.50%,30%,2015-05-24,2070/2071,Closed
AMFI,Arambha Microfinance Bittiya Sanstha Ltd.,7.38%,0%,7.38%,2019-12-15,2075/2076,Closed
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,14.25%,0.75%,15%,2024-12-31,2080/2081,Closed
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,10%,5%,15%,2024-01-01,2079/2080,Closed
API,Api Power Company Ltd.,5%,0.26%,5.26%,2024-10-18,2080/2081,Closed
API,Api Power Company Ltd.,7.50%,0.39%,7.89%,2023-02-16,2078/2079,Closed
API,Api Power Company Ltd.,10.50%,0.55%,11.05%,2021-09-03,2077/2078,Closed
API,Api Power Company Ltd.,9%,0.47%,9.47%,2020-11-16,2076/2077,Closed
API,Api Power Company Ltd.,5%,0.26%,5.26%,2020-03-14,2075/2076,Closed
API,Api Power Company Ltd.,5%,0%,5%,2018-12-30,2074/2075,Closed
API,Api Power Company Ltd.,8%,0%,8%,2018-01-05,2073/2074,Closed
API,Api Power Company Ltd.,5%,0%,5%,2016-08-17,2072/2073,Closed
BARUN,Barun Hydropower Co. Ltd.,5%,0.26%,5.26%,2020-12-31,2076/2077,Closed
BARUN,Barun Hydropower Co. Ltd.,5%,0.26%,5.26%,2017-10-04,2073/2074,Closed
BBC,Bishal Bazar Company Limited,0%,14%,14%,2025-02-21,2075/2076,Closed
BGWT,Bhagawati Hydropower Development Company Limited,4%,10.74%,14.74%,2024-09-18,2080/2081,Closed
BGWT,Bhagawati Hydropower Development Company Limited,0%,10.53%,10.53%,2023-12-21,2079/2080,Closed
