Sno,Merger 1,Merger 2,Merger 3,Merger 4,Merger 5,Final Merged,Sector,Action,Swap Ratio,Trading,Final Approval Date,Joint Transaction Date
1,Sabaiko Laghubitta Bittiya Sanstha Limited,Sadhana Laghubitta Bittiya Sanstha Limited,,,,Sampada Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,1:01,Yes,4/24/2024,7/14/2024
2,Sabaiko Laghubitta Bittiya Sanstha Limited Promoter,Sadhana Laghubitta Bittiya Sanstha Limited Promoter Shares,,,,Sampada Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,Merger,1:01,Yes,4/24/2024,7/14/2024
3,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Manakamana Smart Laghubitta Bittiya Sanstha Limited,,,,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,Acquisition,1:01,Yes,6/25/2024,7/8/2024
4,Samata Gharelu Laghubitta Bittiya Sanstha Limited Promoter,Manakamana Smart Laghubitta Bittiya Sanstha Limited�Promoter Share,,,,Samata Gharelu Laghubitta Bittiya Sanstha Limited Promoter,Microfinance,Acquisition,1:01,Yes,6/25/2024,7/8/2024
5,Kisan Lagubitta Bittiya Sanstha Limited Promoter Share,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited Promoter Share,,,,Matribhumi Lagubitta Bittiya Sanstha Limited Promoter,Promoter Share,Merger,1:01,Yes,6/11/2024,7/11/2024
6,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,Kisan Lagubitta Bittiya Sanstha Limited,,,,Matribhumi Lagubitta Bittiya Sanstha Limited,Microfinance,Merger,01:00.9,Yes,6/11/2024,7/11/2024
7,Asha Laghubitta Bittiya Sanstha Ltd,Rastra Utthan Laghubitta Sanstha Limited,,,,Asha Laghubitta Bittiya Sanstha Ltd,Microfinance,Acquisition,1:01,Yes,7/11/2023,7/16/2023
8,IME General Insurance Ltd.,Prudential Insurance Co. Ltd.,,,,IGI Prudential Insurance Limited,Non-Life Insurance,Merger,1:01,Yes,3/19/2023,5/10/2023
9,Ajod Insurance Limited,United Insurance Co. (Nepal) Ltd.,,,,United Ajod Insurance Limited,Non-Life Insurance,Merger,0.8250: 1,Yes,3/30/2023,5/28/2023
10,Sunrise Bank Limited,Laxmi Bank Limited,,,,Laxmi Sunrise Bank Limited,Commercial Bank,Merger,1:01,Yes,7/7/2023,7/14/2023
11,Nerude Laghubitta Bittiya Sanstha Limited,Mirmire Laghubitta Bittya Sanstha Limited,,,,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,1:01,No,10/20/2023,10/20/2023
12,Samudayik Laghubitta Bittiya Sanstha Limited,BPW Laghubitta Bittiya Sanstha Limited,,,,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,01:00.9,Yes,2/20/2024,2/20/2024
13,Naya Sarathi Laghubitta Bittiya Sanstha Limited,Vijaya laghubitta Bittiya Sanstha Ltd.,,,,Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance,Merger,1:01,Yes,5/13/2023,7/16/2023
14,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Khaptad Laghubitta Bittiya Sanstha Limited,,,,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,1:01,Yes,6/7/2023,7/5/2023
