Company,Name,Ratio,Units,Opening Date,Closing Date,Book Closure Date,Issue Manager,Status
ADBL,Agriculture Development Bank Limited,2:01,19688000,2016-10-18,2016-11-21,2016-09-26,Ace Capital Limited.,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,1:01,3504930,2014-03-24,2014-04-27,2014-02-13,Elite Capital Ltd.,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,1:01,18679626,2024-02-29,2024-03-20,2024-01-29,Muktinath Capital Limited,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,01:00.5,5241197,2021-04-19,2021-05-16,2021-03-22,Muktinath Capital Limited,Closed
AKJCL,Ankhu Khola Jalvidhyut Company Ltd,01:01.5,12000000,2024-08-11,2024-09-01,2024-07-16,Nabil Investment Banking Ltd.,Closed
AKPL,Arun Kabeli Power Ltd.,1:01,18552105,2023-08-28,2023-09-17,2023-07-10,Nabil Investment Banking Ltd.,Closed
ALDBL,Alpine Development Bank Limited,03:02.1,820000,2016-08-02,2016-09-05,2016-07-05,Nmb Capital Limited,Closed
ALDBL,Alpine Development Bank Limited,03:02.1,2600754,2017-07-08,2017-08-12,2017-06-04,NMB Capital Ltd.,Closed
ALICL,Asian Life Insurance Co. Limited,2:01,4027966,2018-02-24,2018-04-14,2018-01-22,NIBL Ace Capital Limited,Closed
ALICL,Asian Life Insurance Co. Limited,01:00.6,7540353,2019-04-08,2019-05-12,2019-03-06,NIBL Ace Capital Limited,Closed
ALICL,Asian Life Insurance Co. Limited,01:00.4,14279312,2025-07-09,2025-08-05,2025-05-30,Muktinath Capital Limited,Closed
ALICL,Asian Life Insurance Co. Limited,20:01,256297,2014-04-01,2014-05-05,2014-03-11,Civil Capital Market Ltd.,Closed
API,Api Power Company Ltd.,01:00.4,10860000,2022-04-08,2022-04-28,2022-03-28,Muktinath Capital Limited,Closed
API,Api Power Company Ltd.,01:00.5,5670000,2020-10-30,2020-11-19,2020-03-14,Siddhartha Capital Limited,Closed
API,Api Power Company Ltd.,01:00.3,5670000,2021-06-03,2021-06-27,2021-05-12,Muktinath Capital Limited,Closed
API,Api Power Company Ltd.,01:00.4,16533137,2023-08-16,2023-09-05,2023-07-07,Muktinath Capital Limited,Closed
ARDBL,Araniko Development Bank Limited,10:03.6,928190,2016-10-23,2016-11-26,2016-10-14,Siddhartha Capital Limited,Closed
BARUN,Barun Hydropower Co. Ltd.,1:01,5358150,2025-07-15,2025-08-19,2025-06-05,RBB Merchant Banking Ltd,Closed
BARUN,Barun Hydropower Co. Ltd.,1:01,2679075,2022-08-22,2022-09-16,2022-07-18,RBB Merchant Banking Limited,Closed
BBBLN,Biratlaxmi Bikas Bank Limited,01:02.5,1485000,2012-06-21,2012-07-25,2012-06-07,NMB Capital Ltd.,Closed
BFC,Best Finance Company Ltd.,01:01.3,1652850,2017-09-11,2017-10-30,2017-08-10,Global IME Capital Ltd.,Closed
BHBL,Bhargav Bikash Bank Ltd.,1:01,1200000,2017-03-06,2017-04-09,2017-03-23,NMB Capital Limited,Closed
BHBL,Bhargav Bikash Bank Ltd.,10:08,2112000,2017-11-09,2017-12-28,2017-11-01,NMB Capital Ltd,Closed
BHL,Balephi Hydropower Limited,1:01,18279700,2024-12-12,2025-01-01,2024-11-06,NIMB Ace Capital Limited,Closed
BPCL,Butwal Power Company Limited,3:02,6768463,2014-03-02,2014-04-05,2014-02-05,NMB Capital Ltd.,Closed
CBBL,Chhimek Laghubitta Bikas Bank Limited,2:01,1418447,2015-07-27,2015-08-30,2015-07-15,NMB Capital Ltd.,Closed
CBL,Civil Bank Ltd,10:04,20740888,2017-12-07,2018-01-25,2017-11-21,Laxmi Capital Market Ltd,Closed
CCBL,Century Commercial Bank Ltd.,10:04,18854256,2017-07-30,2017-09-17,2017-07-11,Civil Capital Market Limited,Closed
CCBL,Century Commercial Bank Ltd.,4:01,5300000,2015-10-26,2015-11-29,2015-10-07,Civil Capital Market Ltd.,Closed
CCBL,Century Commercial Bank Ltd.,10:03,8522400,2016-08-20,2016-09-24,2016-08-02,Civil Capital Market Limited,Closed
CDBL,Country Development Bank Ltd.,10:03,924000,2014-10-21,2014-11-24,2014-10-09,Nabil Investment Banking Ltd.,Closed
CEFL,City Express Finance Co. Limited,01:01.7,2500000,2018-08-16,2018-09-20,2018-08-06,Kathmandu Capital Market Limited,Closed
CFCL,Central Finance Co. Ltd.,2:01,2603314,2018-01-06,2018-02-24,2017-12-19,NIBL Capital Market Limited,Closed
CHL,Chhyangdi Hydropower Ltd.,10:03,893025,2022-01-25,2022-02-14,2022-01-05,Global IME Capital Limited,Closed
CHL,Chhyangdi Hydropower Ltd.,1:01,3869775,2025-06-06,2025-07-11,2025-05-16,Global IME Capital Ltd,Closed
