sn,Name,Symbol,Category
1,Api Finance Limited,xAFL,Finance Company
2,Axis Development Bank Limited,xADBL,Development Banks
3,Bank of Asia Nepal Limited,xBOANL,Commercial Banks
4,Bhrikuti Vikash Bank Limited,xBVBL,Commercial Banks
5,Business Universal Development Bank Ltd.,xBUDBL,Development Banks
6,Deva Bikas Bank Limited,xDBBL,Development Banks
7,Fewa Bikas Bank Ltd. Promoter Share,xFBBLPS,Promoter Share
8,Gorkha Finance Ltd.,xGFL,Finance Company
9,Grand Bank Nepal Limited,xGBNL,Commercial Banks
10,Gurkha Development Bank Limited,xGDBL,Development Banks
11,Infrastructure Development Bank Ltd.,xIDBL,Development Banks
12,Kailash Bikas Bank Ltd.,xKBBL,Development Banks
13,Kaski Finance Limited,xKFL,Finance Company
14,Lumbini Bank Limited,xLBL,Commercial Banks
15,Madhyamanchal Gramin Development Bank Ltd.,xMGDBL,Development Banks
16,Mahalaxmi BikasBank Limited,xMBL,Development Banks
17,Narayani National Finance Limited,xNNFL,Finance Company
18,Om Finance Ltd.,xOFL,Finance Company
19,Paschimanchal Finance Co. Ltd.,xPFCL,Finance Company
20,Public Development Bank Limited,xPDBL,Development Banks
21,Sagarmatha  Finance Limited,xSFL,Finance Company
22,Siddhartha Development Bank Ltd.,xSDBL,Development Banks
23,Supreme Development Bank Ltd.,xSDBL,Development Banks
24,Ace Development Bank Ltd.,xADBL,Development Banks
25,Clean Energy Development Bank Limited,xCEDBL,Development Banks
26,Fewa Finance Co. Ltd.,xFFCL,Finance Company
27,Mahakali Bikas Bank Limited,xMBBL,Development Banks
28,Shikhar Finance Limited,xSFL,Finance Company
29,IME Financial Institution,xIFI,Finance Company
30,Imperial Financial Inst. Ltd.,xIFIL,Finance Company
31,Lord Buddha Finance Limited,xLBFL,Finance Company
32,Standard Finance Ltd.,xSFL,Finance Company
33,Nepal Express Finance Ltd.,xNEFL,Finance Company
34,Reliable Development Bank Limited,xRDBL,Development Banks
35,Biratlaxmi Bikas Bank Limited,xBBBL,Development Banks
36,Patan Finance Limited,xPFL,Finance Company
37,NABIL Bank Limited Promotor Share,xNBLPS,Promoter Share
38,Siddhartha Development Bank Limited Promoter Share,xSDBLPS,Promoter Share
39,Alpic Everest Finance Co. Ltd.,xAEFCL,Finance Company
40,Pathibhara Bikas Bank Limited,xPBBL,Development Banks
41,Bhrikuti Bikash Bank Limited Promoter Share,xBBBLPS,Promoter Share
42,Lumbini Finance Ltd.,xLFL,Finance Company
43,Civil Merchant Bittiya Santha Ltd.,xCMBSL,Others
44,Alpic Everest Finance Limited Promotor Share,xAEFLPS,Promoter Share
45,Nepal Shree Lanka Merchant Banking & Finance Ltd,xNSLMBFL,Finance Company
46,NIDC Capital Markets Ltd.,xNCML,Finance Company
47,Peoples Finance Ltd.,xPFL,Finance Company
48,Universal Finance Ltd.,xUFL,Finance Company
49,Triveni Bikas Bank Limited,xTBBL,Development Banks
50,Apex Development Bank Ltd.,xADBL,Development Banks
51,Bagheshwori Development Bank Limited,xBDBL,Development Banks
52,Gandaki Bikas BankLimited,xGBB,Development Banks
53,Gorkha Finance Limited Promoter Share,xGFLPS,Promoter Share
54,Nepal Bangladesh Bank Limited Promoter Share,xNBBLPS,Promoter Share
55,Nava Durga Finance Co. Ltd.,xNDFCL,Finance Company
56,Nepal Housing & Merchant Finance Ltd.,xNHMFL,Finance Company
57,Paschimanchal Bikash Bank Limited,xPBBL,Development Banks
58,Bank of Kathmandu Limited Promoter Share,xBOKLPS,Promoter Share
59,Kumari Bank Limited Promotor Share,xKBLPS,Promoter Share
60,Nepal Aawas Finance Limited,xNAFL,Finance Company
61,Premier Finance Co. Ltd.,xPFCL,Finance Company
62,Subhechha Bikas Bank Limited,xSBBL,Development Banks
63,Prudential Finance Company Limited,xPFCL,Finance Company
64,Society Development Bank Ltd.,xSDBL,Development Banks
65,Birgunj Finance Ltd.,xBFL,Finance Company
66,Maha Laxmi Finance Ltd.,xMLFL,Finance Company
67,CMB Finance Limited,xCFL,Finance Company
68,Yeti Finance Ltd.,xYFL,Finance Company
69,Sanima Bank Ltd. Promoter Share,xSBLPS,Promoter Share
70,Resunga Bikas Bank Limited,xRBBL,Development Banks
71,Capital Merchant Bank. & Fin. Promoter Share,xCMBFPS,Promoter Share
72,Gurkhas Finance  Ltd. Promoter Share,xGFLPS,Promoter Share
73,Siddharth Finance Ltd.,xSFL,Finance Company
74,Union Finance Co. Ltd.,xUFCL,Finance Company
75,NCM Mutual Fund,xNMF,Mutual Fund
76,Everest Finance Ltd.,xEFL,Finance Company
77,Nepal Credit & Commercial Bank Ltd. Promoter Share,xNCCBLPS,Promoter Share
78,Universal Finance Limited Promoter Share,xUFLPS,Promoter Share
79,Kasthamandap Development Bank Limited,xKDBL,Development Banks
80,Pokhara Finance Company Limited Promoter Share,xPFCLPS,Promoter Share
81,NMB Bank Limited Promoter Share,xNBLPS,Promoter Share
82,Goodwill Finance Limited Promoter,xGFLP,Promoter Share
83,Infrastructure Development Bank Limited Promoter Share,xIDBLPS,Promoter Share
84,Progressive Finance Limited Promoter Share,xPFLPS,Promoter Share
85,Royal Merchant Bank & Finance Co. Ltd. Promoter Share,xRMBFCLPS,Promoter Share
86,Best Finance Co. Limited Promoter Share,xBFCLPS,Promoter Share
