sn,Name,Symbol,Category,First Traded Price,First Traded Date,Last Traded Price,Last Traded Date,Note
1,Api Finance Limited,xAFL,Finance Company,240.0,2010-04-15,107.0,2012-07-23,
2,Axis Development Bank Limited,xADBL,Development Banks,240.0,2010-04-15,91.0,2013-10-07,
3,Bank of Asia Nepal Limited,xBOANL,Commercial Banks,300.0,2010-04-15,228.0,2012-06-28,
4,Bhrikuti Vikash Bank Limited,xBVBL,Commercial Banks,212.0,2010-04-15,378.0,2014-09-29,
5,Business Universal Development Bank Ltd.,xBUDBL,Development Banks,189.0,2010-04-15,269.0,2016-01-07,
6,Deva Bikas Bank Limited,xDBBL,Development Banks,172.0,2010-04-15,147.0,2020-07-06,
7,Fewa Bikas Bank Ltd. Promoter Share,xFBBLPS,Promoter Share,230.0,2010-04-15,209.0,2016-06-13,
8,Gorkha Finance Ltd.,xGFL,Finance Company,197.0,2010-04-15,84.0,2012-06-20,
9,Grand Bank Nepal Limited,xGBNL,Commercial Banks,250.0,2010-04-15,184.0,2015-01-29,
10,Gurkha Development Bank Limited,xGDBL,Development Banks,426.0,2010-04-15,25.0,2015-01-06,
11,Infrastructure Development Bank Ltd.,xIDBL,Development Banks,263.0,2010-04-15,196.0,2015-11-26,
12,Kailash Bikas Bank Ltd.,xKBBL,Development Banks,249.0,2010-04-15,238.0,2019-07-04,
13,Kaski Finance Limited,xKFL,Finance Company,221.0,2010-04-15,277.0,2015-08-02,
14,Lumbini Bank Limited,xLBL,Commercial Banks,245.0,2010-04-15,401.0,2015-12-24,
15,Madhyamanchal Gramin Development Bank Ltd.,xMGDBL,Development Banks,219.0,2010-04-15,131.0,2010-05-24,
16,Mahalaxmi BikasBank Limited,xMBL,Development Banks,198.0,2010-04-15,228.0,2017-03-14,
17,Narayani National Finance Limited,xNNFL,Finance Company,294.0,2010-04-15,340.0,2016-02-29,
18,Om Finance Ltd.,xOFL,Finance Company,400.0,2010-04-15,320.0,2015-07-14,
19,Paschimanchal Finance Co. Ltd.,xPFCL,Finance Company,178.0,2010-04-15,363.0,2016-06-01,
20,Public Development Bank Limited,xPDBL,Development Banks,160.0,2010-04-15,185.0,2014-07-01,
21,Sagarmatha  Finance Limited,xSFL,Finance Company,229.0,2010-04-15,226.0,2017-03-02,
22,Siddhartha Development Bank Ltd.,xSDBL,Development Banks,190.0,2010-04-15,,2017-04-20,
23,Supreme Development Bank Ltd.,xSDBL,Development Banks,139.0,2010-04-15,210.0,2015-11-26,
24,Ace Development Bank Ltd.,xADBL,Development Banks,246.0,2010-04-19,445.0,2016-08-07,
25,Clean Energy Development Bank Limited,xCEDBL,Development Banks,510.0,2010-04-19,273.0,2014-12-01,
26,Fewa Finance Co. Ltd.,xFFCL,Finance Company,345.0,2010-04-19,223.0,2014-12-21,
27,Mahakali Bikas Bank Limited,xMBBL,Development Banks,234.0,2010-04-19,304.0,2016-06-01,
28,Shikhar Finance Limited,xSFL,Finance Company,181.0,2010-04-19,110.0,2011-05-30,
29,IME Financial Institution,xIFI,Finance Company,590.0,2010-04-20,201.0,2012-02-02,
