Sno,Merger 1,Merger 2,Merger 3,Merger 4,Merger 5,Final Merged,Sector,Action,Swap Ratio,Trading,Final Approval Date,Joint Transaction Date
1,Sabaiko Laghubitta Bittiya Sanstha Limited,Sadhana Laghubitta Bittiya Sanstha Limited,,,,Sampada Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,1:1,Yes,2024-04-24,2024-07-14
2,Sabaiko Laghubitta Bittiya Sanstha Limited Promoter,Sadhana Laghubitta Bittiya Sanstha Limited Promoter Shares,,,,Sampada Laghubitta Bittiya Sanstha Limited Promoter,Promoter Share,Merger,1:1,Yes,2024-04-24,2024-07-14
3,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Manakamana Smart Laghubitta Bittiya Sanstha Limited,,,,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,Acquisition,1:1,Yes,2024-06-25,2024-07-08
4,Samata Gharelu Laghubitta Bittiya Sanstha Limited Promoter,Manakamana Smart Laghubitta Bittiya Sanstha Limited�Promoter Share,,,,Samata Gharelu Laghubitta Bittiya Sanstha Limited Promoter,Microfinance,Acquisition,1:1,Yes,2024-06-25,2024-07-08
5,Kisan Lagubitta Bittiya Sanstha Limited Promoter Share,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited Promoter Share,,,,Matribhumi Lagubitta Bittiya Sanstha Limited Promoter,Promoter Share,Merger,1:1,Yes,2024-06-11,2024-07-11
6,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,Kisan Lagubitta Bittiya Sanstha Limited,,,,Matribhumi Lagubitta Bittiya Sanstha Limited,Microfinance,Merger,1:0.8834,Yes,2024-06-11,2024-07-11
7,Asha Laghubitta Bittiya Sanstha Ltd,Rastra Utthan Laghubitta Sanstha Limited,,,,Asha Laghubitta Bittiya Sanstha Ltd,Microfinance,Acquisition,1: 1,Yes,2023-07-11,2023-07-16
8,IME General Insurance Ltd.,Prudential Insurance Co. Ltd.,,,,IGI Prudential Insurance Limited,Non-Life Insurance,Merger,1: 1,Yes,2023-03-19,2023-05-10
9,Ajod Insurance Limited,United Insurance Co. (Nepal) Ltd.,,,,United Ajod Insurance Limited,Non-Life Insurance,Merger,0.8250: 1,Yes,2023-03-30,2023-05-28
10,Sunrise Bank Limited,Laxmi Bank Limited,,,,Laxmi Sunrise Bank Limited,Commercial Bank,Merger,1:1,Yes,2023-07-07,2023-07-14
11,Nerude Laghubitta Bittiya Sanstha Limited,Mirmire Laghubitta Bittya Sanstha Limited,,,,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,1: 1,No,2023-10-20,2023-10-20
12,Samudayik Laghubitta Bittiya Sanstha Limited,BPW Laghubitta Bittiya Sanstha Limited,,,,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,1:0.8535,Yes,2024-02-20,2024-02-20
13,Naya Sarathi Laghubitta Bittiya Sanstha Limited,Vijaya laghubitta Bittiya Sanstha Ltd.,,,,Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance,Merger,1: 1,Yes,2023-05-13,2023-07-16
14,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Khaptad Laghubitta Bittiya Sanstha Limited,,,,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,1:1,Yes,2023-06-07,2023-07-05
15,National Microfinance Laghubitta Bittiya Sanstha Limited,Summit Laghubitta Bittiya Sanstha Limited,,,,National Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,100: 73,Yes,2023-07-07,2023-07-15
16,Deprosc Laghubitta Bittiya Sanstha Limited,Adarsha Laghubitta Bittiya Sanstha Limited,,,,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,Acquisition,1: 1,Yes,2022-09-29,2023-06-16
17,Nepal Credit & Commercial Bank Ltd. Promoter Share,Kumari Bank Limited Promotor Share,,,,Kumari Bank Limited Promotor Share,Promoter Share,Merger,1:1,Yes,2022-12-26,2023-01-01
18,Nepal Credit And Commercial Bank Limited,Kumari Bank Limited,,,,Kumari Bank Limited,Commercial Bank,Merger,1: 1,Yes,2022-12-26,2023-01-01
19,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,RMDC Laghubitta Bittiya Sanstha Ltd.,,,,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,100: 87,Yes,2023-06-22,2023-07-09
20,Prabhu Bank Limited,Century Commercial Bank Ltd.,,,,Prabhu  Bank Limited,Commercial Bank,Acquisition,1: 1,Yes,2023-01-03,2023-01-10
21,Prabhu Life Insurance Limited,Maha Laxmi Finance Ltd.,,,,Prabhu Mahalaxmi Life Insurance Limited,Life Insurance,Merger,1: 1,Yes,2023-07-11,2023-07-14
22,Sagarmatha Insurance Co. Ltd.,Lumbini General Insurance Co. Ltd.,,,,Sagarmatha Lumbini Insurance Co. Limited,Non-Life Insurance,Merger,100: 80,Yes,2023-03-07,2023-03-13
23,Sanima General Insurance Limited,General Insurance Company Nepal Ltd,,,,Sanima GIC Insurance Limited,Non-Life Insurance,Merger,1: 1,Yes,2022-09-30,2022-10-24
24,Himalayan Bank Limited,Civil Bank Ltd,,,,Himalayan Bank Limited,Commercial Bank,Acquisition,100: 80.28,Yes,2023-02-24,2023-02-24
25,Sanima Life Insurance Limited,Reliance Life Insurance Limited,,,,Sanima Reliance Life Insurance Limited,Life Insurance,Merger,1: 1,Yes,2023-03-02,2023-03-23
26,Siddhartha Insurance Ltd.,Premier Insurance Company (Nepal) Limited,,,,Siddhartha Premier Insurance Limited,Non-Life Insurance,Merger,1: 1,Yes,2023-02-07,2023-03-01
27,CYC Nepal Laghubitta Bittiya Sanstha Limited,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,,,,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,100 : 70,Yes,2023-02-27,2023-03-14
28,Surya Life Insurance Co. Ltd. Promoter Share,Jyoti Life Insurance Company Limited�Promoter Share,,,,SuryaJyoti Life Insurance Company Limited Promoter,Promoter Share,Merger,100: 82.45,Yes,2022-12-15,2022-12-22
29,Surya Life Insurance Company Limited,Jyoti Life Insurance Company Limited,,,,SuryaJyoti Life Insurance Company Limited,Life Insurance,Merger,100: 82.45,Yes,2022-12-15,2022-12-22
30,Global IME Bank Limited,Bank of Kathmandu Ltd.,,,,Global IME Bank Limited,Commercial Bank,Merger,1: 1,Yes,2023-01-03,2023-01-09
31,Nepal Investment Bank Limited,Mega Bank Nepal Ltd.,,,,Nepal Investment Mega Bank Limited,Commercial Bank,Merger,100: 90,Yes,2022-11-29,2023-01-11
32,Nepal Investment Bank Ltd. Promoter Share,Mega Bank Nepal Ltd. Promoter Share,,,,Nepal Investment Mega Bank Ltd. Promoter Share,Promoter Share,Merger,100:90,Yes,2022-11-29,2023-01-11
33,Gurans Life Insurance Company Ltd.,Union Life Insurance Company Limited,Prime Life Insurance Company Limited,,,Himalayan Life Insurance Limited,Life Insurance,Merger,1: 1: 1,Yes,2023-05-02,2023-05-09
34,Everest Insurance Co. Ltd.,Himalayan General Insurance Co. Ltd,,,,Himalayan Everest Insurance Limited,Non-Life Insurance,Merger,85: 100,Yes,2022-07-08,2022-07-17
35,Everest Insurance Co. Ltd. Promoter Share,Himalayan General Insurance Co. Ltd Promoter Share,,,,Himalayan Everest Insurance Limited Promoter,Promoter Share,Merger,85: 100,Yes,2022-07-08,2022-07-17
36,Nabil Bank Limited,Nepal Bangladesh Bank Limited,,,,Nabil Bank Limited,Commercial Bank,Acquisition,100:43,Yes,2022-06-29,2022-07-11
37,Mirmire Laghubitta Bittya Sanstha Limited,Buddha Jyoti Laghubitta Bittiya Sanstha Limited,,,,Mirmire Laghubitta Bittya Sanstha Limited,Microfinance,Acquisition,100: 76,Yes,2022-08-22,2022-08-31
38,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,Unique Nepal Laghubitta Bittiya Sanstha Limited,,,,Unique Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,1:0.50,Yes,2021-10-15,2022-01-14
39,Rairang Hydropower Development Company Ltd.,Ridi Hydropower Development Company Ltd.,,,,Ridi Power Company Limited,Hydropower,Merger,100: 93,Yes,2022-07-14,2022-09-15
40,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Deurali Laghubitta Bittiya Sanstha Limited.,,,,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance,Acquisition,1:0.84,Yes,2021-10-18,2021-11-16
41,Womi Microfinance Bittiya Sanstha Ltd.,Suryodaya Laghubitta Bittiya Sanstha Ltd.,,,,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,1:1,Yes,2022-02-24,2022-04-03
42,Makar Jitumaya Suri Hydropower Limited,Surikhola Hydropower Limited�,,,,Makar Jitumaya Suri Hydropower Limited,Hydropower,Merger,1:1,Yes,2021-07-15,2021-07-16
43,CYC Nepal Laghubitta Bittiya Sanstha Limited,Shaligram Laghubitta Bittiya Sanstha Limited.,,,,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,Acquisition,1:1,Yes,2021-06-29,2021-07-13
44,Nabil Bank Limited,United Finance Ltd.,,,,Nabil Bank Limited,Commercial Bank,Acquisition,1:0.35,Yes,2021-07-02,2021-07-11
45,Global IME Laghubitta Bittiya Sanstha Ltd.,Sparsha Laghubitta Bittiya Sanstha Limited,,,,Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,Acquisition,1:1,Yes,2021-04-21,2021-04-21
46,Samata Laghubitta Bittiya Sanstha Limited,Gharelu Laghubitta Bittiya Sanstha Limited,,,,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,1:0.80,Yes,2021-04-07,2021-04-15
47,Citizens Bank International Limited,Srijana Finance Limited,,,,Citizens Bank International Limited,Commercial Bank,Acquisition,1:1,Yes,2021-05-25,2021-07-10
48,Infinity Laghubitta Bittiya Sanstha Limited,Nepal Agro Laghubitta Bittiya Sanstha Limited,,,,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance,Acquisition,100:98,Yes,2021-07-30,2021-08-20
49,National Microfinance Laghubitta Bittiya Sanstha Limited,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,,,,National Laghubitta Bittiya Sanstha Limited,Microfinance,Acquisition,1:1,Yes,2021-07-08,2021-07-14
50,Womi Microfinance Bittiya Sanstha Ltd.,Grameen Swayamsewak Laghubitta Bittiya Sanstha Limited.,,,,Womi Microfinance Bittiya Sanstha Ltd.,Microfinance,Merger,1:1,Yes,2021-01-17,2021-03-16
51,Nepal Finance Ltd.,Lalitpur Finance Ltd.,,,,Nepal Finance Ltd.,Finance,Acquisition,1:1,Yes,2021-07-05,2021-07-11
52,Tinau Mission Development Bank Limited,Citizen Bank International Limited,,,,Citizens Bank International Limited,Commercial Bank,Acquisition,100:96,Yes,2021-03-27,2021-03-27
53,Swadeshi Laghubitta Bittiya Sanstha Ltd.,NIC Asia Laghubitta Bittiya Sanstha Limited,,,,NIC Asia Laghubitta Bittiya Sanstha Limited,Microfinance,Merger,100:94,Yes,2021-03-21,2021-03-21
54,Garima Bikas Bank Limited,Sahara Bikas Bank Ltd.,,,,Garima Bikas Bank Limited,Development Bank,Acquisition,1:1,Yes,2021-10-18,2021-11-14
55,NMB Bank Limited,Kanchan Development Bank Limited,,,,NMB Bank Limited,Commercial Bank,Acquisition,100:85,No,2020-08-09,2020-08-23
56,Kumari Bank Limited,Deva Bikas Bank Limited,,,,Kumari Bank Limited,Commercial Bank,Acquisition,1:0.86,No,2020-06-24,2020-06-12
57,Mega Bank Nepal Ltd.,Gandaki Bikas BankLimited,,,,Mega  Bank Nepal Ltd.,Commercial Bank,Acquisition,1:1,No,2020-06-24,2020-07-05
58,Citizens Bank International Limited,Sahayogi Bikas Bank Limited,,,,Citizens Bank International Limited,Commercial Bank,Acquisition,1:0.9175,Yes,2020-06-24,2020-07-04
59,Global IME Bank Limited,Janata Bank Nepal Ltd.,,,,Global IME Bank Limited,Commercial Bank,Merger,1:0.85,No,2019-12-20,2019-12-20
60,Prime Commercial Bank Ltd.,Kailash Bikas Bank Ltd.,,,,Prime Commercial Bank Ltd.,Commercial Bank,Acquisition,1:0.94,No,2020-03-01,2020-03-12
61,Saptakoshi Development Bank Ltd,Kabeli Bikas Bank Limited,,,,Saptakoshi Development Bank Ltd,Development Bank,Acquisition,1:1,Yes,2019-06-12,2019-07-07
62,Prime Commercial Bank Ltd.,Kankai Bikas Bank Ltd.,,,,Prime Commercial Bank Ltd.,Commercial Bank,Acquisition,100:71.50,Yes,2019-09-01,2019-09-15
63,Tinau Development Bank Limited,Mission Development Bank Ltd.,,,,Tinau Mission Development Bank Limited,Development Bank,Merger,1:1,Yes,2019-06-27,2019-07-16
64,Nepal Community Development Bank Ltd.,Tinau Mission Development Bank Limited,,,,Tinau Mission Development Bank Limited,Development Bank,Acquisition,1:1,No,2019-11-15,2019-12-08
65,Mirmire Laghubitta Bittya Sanstha Limited,NagBeli LaghuBitta Bikas Bank Ltd.,,,,Mirmire Laghubitta Bittya Sanstha Limited,Microfinance,Acquisition,100:95,No,2020-08-19,2020-08-23
66,NMB Bank Limited,Om Development Bank Ltd.,,,,NMB Bank Limited,Commercial Bank,Merger,100:76,Yes,2019-09-18,2019-09-28
67,Shine Resunga Development Bank Ltd.,Purnima Bikas Bank Ltd.,,,,Shine Resunga Development Bank Ltd.,Development Bank,Acquisition,1:0.95,Yes,2019-10-03,2019-10-14
68,Global IME Bank Limited,Hathway Finance Company Limited,,,,Global IME Bank Limited,Commercial Bank,Acquisition,100:42,Yes,2019-09-01,2019-09-04
69,Jyoti Bikas Bank Limited,Hamro Bikas Bank Ltd.,,,,Jyoti Bikas Bank Limited,Development Bank,Acquisition,1:1,Yes,2019-03-11,2019-03-29
70,Nepal Investment Bank Limited,Jebils Finance Ltd.,,,,Nepal Investment Bank Limited,Commercial Bank,Acquisition,100:33,Yes,2019-07-10,2019-07-15
71,Best Finance Company Ltd.,Synergy Finance Ltd.,,,,Best Finance Company Ltd.,Finance,Acquisition,1:1,Yes,2018-07-02,2018-08-02
72,Deva Bikas Bank Limited,Western Development Bank Limited,,,,Deva Bikas Bank Limited,Development Bank,Acquisition,1:1,Yes,2019-06-10,2019-07-15
73,Century Commercial Bank Ltd.,Seti Finance Limited,,,,Century Commercial Bank Ltd.,Commercial Bank,Acquisition,100:70,Yes,2017-11-20,2017-12-08
74,Century Commercial Bank Ltd.,Alpine Development Bank Limited,,,,Century Commercial Bank Ltd.,Commercial Bank,Acquisition,100:93,Yes,2017-11-20,2017-12-08
75,Deva Bikas Bank Limited,Sajha Bikas Bank Ltd.,Union Finance Co. Ltd.,,,Deva Bikas Bank Limited,Development Bank,Acquisition,100 : 100 : 50,Yes,2017-10-10,2017-11-09
76,Jyoti Bikas Bank Limited,Raptibheri Bikas Bank Ltd.,,,,Jyoti Bikas Bank Limited,Development Bank,Acquisition,1:1,Yes,2017-10-10,2017-10-25
77,Western Development Bank Limited,Namaste Bittiya Sanstha Ltd.,,,,Western Development Bank Limited,Development Bank,Acquisition,1:1,No,2017-09-13,2017-10-15
78,Century Commercial Bank Ltd.,Sagarmatha Finance Limited,,,,Century Commercial Bank Ltd.,Commercial Bank,Acquisition,100:95,Yes,2017-07-10,2017-07-15
79,Janata Bank Nepal Ltd.,Siddhartha Development Bank Ltd.,,,,Janata Bank Nepal Ltd.,Commercial Bank,Acquisition,1:1,Yes,2017-07-14,2017-07-14
80,Global IME Bank Limited,Reliable Development Bank Limited,,,,Global IME Bank Limited,Commercial Bank,Acquisition,100:82.9,Yes,2017-07-09,2017-07-09
81,Nepal Investment Bank Limited,Ace Development Bank Ltd.,,,,Nepal Investment Bank Limited,Commercial Bank,Acquisition,100:41,Yes,2017-07-13,2017-07-13
82,Civil Bank Ltd,Unique Finance Ltd.,,,,Civil Bank Ltd,Commercial Bank,Acquisition,100:90,Yes,2017-06-15,2017-07-02
83,Civil Bank Ltd,Hama Merchant & Finance Ltd.,,,,Civil Bank Ltd,Commercial Bank,Acquisition,100:89,Yes,2017-06-15,2017-07-02
84,Om Development Bank Ltd.,Manaslu Bikas Bank Ltd.,,,,Om Development Bank Ltd.,Corporate Debentures,Merger,100:92,No,2017-05-31,2017-06-16
85,Deva Bikas Bank Limited,Sahara Bikas Bank Ltd.,,,,Deva Bikas Bank Limited,Corporate Debentures,Acquisition,1:1,Yes,2017-06-10,2017-06-15
86,Century Commercial Bank Ltd.,Innovative Development Bank Ltd.,Araniko Development Bank Limited,,,Century Commercial Bank Ltd.,Commercial Bank,Acquisition,100:85:90,Yes,2017-05-31,2017-06-11
87,Kabeli Bikas Bank Limited,Mount Makalu Development Bank Ltd.,,,,Kabeli Bikas Bank Limited,Development Bank,Acquisition,100:88,Yes,2018-05-14,2018-06-10
88,Prime Commercial Bank Ltd.,Biratlaxmi Bikas Bank Limited,Country Development Bank Ltd.,,,Prime Commercial Bank Ltd.,Commercial Bank,Acquisition,100:75:40,Yes,2017-04-03,2017-04-30
89,Janata Bank Nepal Ltd.,Triveni Bikas Bank Limited,,,,Janata Bank Nepal Ltd.,Commercial Bank,Merger,1:1,No,2017-04-07,2017-04-07
90,Bhaktapur Finance Co. Ltd.,Central Finance Co. Ltd.,,,,Central Finance Co. Ltd.,Finance,Acquisition,1:1,No,2017-03-05,2017-03-23
91,Global IME Bank Limited,Pacific Development Bank Limited,,,,Global IME Bank Limited,Commercial Bank,Acquisition,100:69.26,Yes,2017-02-07,2017-02-12
92,Sunrise Bank Limited,NIDC Capital Markets Ltd.,,,,Sunrise Bank Limited,Commercial Bank,Acquisition,100:65,Yes,2017-01-26,2017-02-10
93,Shree Investment Finance Co. Ltd.,Everest Finance Ltd.,,,,Shree Investment Finance Co. Ltd.,Finance,Merger,100:65,No,2017-01-06,2017-02-01
94,Mega Bank Nepal Ltd.,Tourism Development Bank Limited,,,,Mega  Bank Nepal Ltd.,Commercial Bank,Acquisition,100:95,No,2018-04-22,2018-05-13
95,Grand Bank Nepal Limited,Nepal Development Bank Limited,,,,Prabhu Bank Limited,Commercial Bank,Merger,1:1,Yes,2017-01-10,2017-01-15
96,Tourism Development Bank Limited,Matribhumi Development Bank Ltd.,Kalinchowk Development Bank Ltd.,,,Tourism Development Bank Limited,Corporate Debentures,Acquisition,100:92:77,Yes,2016-12-24,2017-01-08
97,Sanima Bank Limited,Bagmati Development Bank Ltd.,,,,Sanima Bank Limited,Commercial Bank,Acquisition,100:41,Yes,2016-12-16,2017-01-13
98,Laxmi Bank Limited,Professional Diyalo Bikas Bank Ltd.,,,,Laxmi Bank Limited,Commercial Bank,Acquisition,100:50,Yes,2016-12-26,2017-01-15
99,Nepal Credit And Commercial Bank Limited,Infrastructure Development Bank Ltd.,Apex Development Bank Ltd.,Supreme Development Bank Ltd.,International Development Bank Ltd,Nepal Credit And Commercial Bank Limited,Commercial Bank,Merger,100 : 76 : 47 : 77 : 72,No,2016-12-05,2017-01-01
100,Civil Bank Ltd,International Leasing & Finance Co. Ltd.,,,,Civil Bank Ltd,Commercial Bank,Acquisition,100:74.72,Yes,2016-09-27,2016-10-17
101,Garima Bikas Bank Limited,Subhechha Bikas Bank Limited,,,,Garima Bikas Bank Limited,Development Bank,Merger,1:1,Yes,2016-09-09,2016-09-20
102,Kumari Bank Limited,Kasthamandap Development Bank Limited,Mahakali Bikas Bank Limited,Paschimanchal Finance Co. Ltd.,,Kumari Bank Limited,Commercial Bank,Acquisition,100:85:85:85,Yes,2017-06-21,2017-06-26
103,Bank of Kathmandu Ltd.,Lumbini Bank Limited,,,,Bank of Kathmandu Ltd.,Commercial Bank,Merger,100:83,Yes,2016-07-08,2016-07-14
104,Malika Development Bank Limited Promoter Share,Maha Laxmi Finance Ltd.,Siddharth Finance Ltd.,,,Mahalaxmi Bikas Bank Ltd.,Development Bank,Merger,1:1:1,No,2016-08-17,2016-09-04
105,Citizens Bank International Limited,Premier Finance Co. Ltd.,,,,Citizens Bank International Limited,Commercial Bank,Acquisition,100:28,Yes,2016-07-04,2016-07-17
106,Siddhartha Bank Limited,Business Universal Development Bank Ltd.,,,,Siddhartha Bank Limited,Commercial Bank,Merger,100:55,Yes,2016-06-05,2016-06-21
107,City Development Ltd.,Om Finance Ltd.,,,,Om Development Bank Ltd.,Commercial Bank,Merger,95.90107 : 104.62696,Yes,2016-03-16,2016-04-04
108,Citizens Bank International Limited,Nepal Housing & Merchant Finance Ltd.,Peoples Finance Ltd.,,,Citizens Bank International Limited,Commercial Bank,Acquisition,100:40:40,Yes,2015-04-09,2015-05-08
109,NDEP Development Bank Limited,Rising Development Bank Ltd.,,,,Deva Bikas Bank Limited,Development Bank,Acquisition,1:1,Yes,2015-07-02,2015-07-10
110,Biratlaxmi Bikas Bank Limited,Khandbari Development Bank Ltd,,,,Biratlaxmi Bikas Bank Limited,Corporate Debentures,Merger,100:75,No,2014-04-06,2014-05-17
111,Royal Merchant Banking and Finance Limited ,Rara Bikas Bank Limited,Api Finance Limited,,,Apex Development Bank Ltd.,Development Bank,Acquisition,1:1:1,No,2013-07-09,2013-07-15
