Date,numTrans,tradedShares,amount,Close,Change,Percentage change,outcome
4/15/2010,606,133770,44884583,449.38,5.84,1.32,1
4/19/2010,717,59742,25226492,441.98,-4.07,-0.91,0
4/20/2010,781,66898,23117774,438.64,-3.34,-0.76,0
4/21/2010,897,82428,38263656,426.42,-12.22,-2.79,0
4/22/2010,864,59944,21506607,426.57,0.15,0.04,1
4/25/2010,967,273420,47599637,423.41,-3.16,-0.74,0
4/26/2010,940,78015,28893627,415.47,-7.94,-1.88,0
4/27/2010,727,80000,26160916,408.19,-7.28,-1.75,0
4/28/2010,622,62536,19701702,405.45,-2.74,-0.67,0
4/29/2010,693,79301,20320180,419.03,13.58,3.35,1
5/9/2010,615,30536,9638250,413.98,-5.05,-1.21,0
5/10/2010,652,46122,13962044,418.77,4.79,1.16,1
5/11/2010,637,41002,20022946,429.59,10.82,2.58,1
5/12/2010,726,118060,34849795,448.98,19.39,4.51,1
5/13/2010,960,119642,51019223,456.04,7.06,1.57,1
5/16/2010,774,60665,25323611,440.49,-15.55,-3.41,0
5/17/2010,564,40996,17213142,440.34,-0.15,-0.03,0
5/18/2010,691,76189,34944223,448.29,7.95,1.81,1
5/19/2010,531,51352,25147806,453.84,5.55,1.24,1
5/20/2010,838,60419,27025162,461.94,8.1,1.78,1
5/23/2010,708,67931,34259547,462.57,0.63,0.14,1
5/24/2010,704,51560,21045707,462.63,0.06,0.01,1
5/25/2010,963,106609,44446931,482.44,19.81,4.28,1
5/26/2010,1093,130196,47193583,478.97,-3.47,-0.72,0
5/30/2010,536,373994,122968184,506.35,27.38,5.72,1
5/31/2010,1284,191569,83321432,490.08,-16.27,-3.21,0
6/1/2010,1013,155997,67687525,479.98,-10.1,-2.06,0
6/2/2010,870,55007,24578374,480.48,0.5,0.1,1
6/3/2010,957,104981,49533047,481.69,1.21,0.25,1
6/6/2010,1254,69102,28235927,478.29,-3.4,-0.71,0
6/7/2010,992,446878,78075402,478.49,0.2,0.04,1
6/8/2010,1187,258338,54067527,482.76,4.27,0.89,1
6/9/2010,1022,80780,35157848,486.6,3.84,0.8,1
6/10/2010,1342,108128,50185342,484.78,-1.82,-0.37,0
6/13/2010,1077,93340,46633389,482.12,-2.66,-0.55,0
6/14/2010,1027,67753,24319594,476.69,-5.43,-1.13,0
6/15/2010,1026,59699,20551924,476,-0.69,-0.14,0
6/16/2010,712,42900,17260816,475.15,-0.85,-0.18,0
6/17/2010,732,45833,18159291,474.63,-0.52,-0.11,0
6/20/2010,855,50165,18561830,474.99,0.36,0.08,1
6/21/2010,843,158539,45721365,468.61,-6.38,-1.34,0
6/22/2010,1064,63245,22878657,470.72,2.11,0.45,1
6/23/2010,1199,84734,28416190,467.6,-3.12,-0.66,0
6/24/2010,1197,72023,28041387,463.51,-4.09,-0.87,0
6/28/2010,737,40394,16889806,459.79,-3.72,-0.8,0
6/29/2010,1093,70044,26964971,455.69,-4.1,-0.89,0
6/30/2010,874,53708,21264685,455.75,0.06,0.01,1
7/1/2010,994,127367,43930974,470.1,14.35,3.15,1
7/4/2010,963,58768,26545370,464.69,-5.41,-1.15,0
7/5/2010,863,58361,24812950,460.7,-3.99,-0.86,0
7/6/2010,589,39627,21206989,463.24,2.54,0.55,1
7/7/2010,900,66985,33201842,461.87,-1.37,-0.3,0
7/8/2010,830,87206,36006368,459.52,-2.35,-0.51,0
7/11/2010,688,67157,25346364,457.78,-1.74,-0.38,0
7/12/2010,702,152820,46173652,461.62,3.84,0.84,1
7/13/2010,601,67059,18285609,464.54,2.92,0.63,1
7/14/2010,614,46801,22087717,467.1,2.56,0.55,1
7/15/2010,478,61183,23073963,477.73,10.63,2.28,1
7/18/2010,579,42942,13118556,468.18,-9.55,-2,0
7/19/2010,593,65384,22220666,466.3,-1.88,-0.4,0
7/20/2010,778,49568,30012957,468.86,2.56,0.55,1
7/21/2010,813,65995,35052715,471.14,2.28,0.49,1
7/22/2010,1031,54750,27669318,469.34,-1.8,-0.38,0
7/25/2010,965,53576,19511623,463.96,-5.38,-1.15,0
7/26/2010,729,93423,28054638,461.65,-2.31,-0.5,0
7/27/2010,715,71045,26578156,460.55,-1.1,-0.24,0
7/28/2010,737,100582,32913477,459.79,-0.76,-0.17,0
7/29/2010,919,114451,30422250,461.63,1.84,0.4,1
8/1/2010,1115,62161,26058292,462.48,0.85,0.18,1
8/2/2010,1164,131068,37215315,460.2,-2.28,-0.49,0
8/3/2010,912,54499,18746474,460.02,-0.18,-0.04,0
8/4/2010,868,63440,22255066,460.89,0.87,0.19,1
8/5/2010,1160,99789,43211422,458.86,-2.03,-0.44,0
8/8/2010,917,44579,20704229,460.22,1.36,0.3,1
8/9/2010,680,61818,20048930,457.36,-2.86,-0.62,0
