Particulars,Fiscal Year (A.D.),Date (B.S.),Date (A.D.)
Budget Annoucement,2025,2082-02-16,2025-05-29
Budget Annoucement,2024,2081-02-15,2024-05-28
Budget Annoucement,2023,2080-02-15,2023-05-29
Budget Annoucement,2022,2079-02-15,2022-05-29
Budget Annoucement,2021,2078-02-15,2021-05-29
Budget Annoucement,2020,2077-02-16,2020-05-29
Budget Annoucement,2019,2076-02-15,2019-05-29
Budget Annoucement,2018,2075-02-15,2018-05-29
Budget Annoucement,2017,2074-02-15,2017-05-29
Budget Annoucement,2016,2073-02-16,2016-05-29
Budget Annoucement,2015,2072-02-15,2015-05-29
Budget Annoucement,2014,2071-02-15,2014-05-29
Budget Annoucement,2013,2070-02-15,2013-05-29
Budget Annoucement,2012,2069-02-15,2012-05-28
Budget Annoucement,2011,2068-02-15,2011-05-29
Dashain,2024,2081-06-26,2024-10-12
Dashain,2023,2080-07-07,2023-10-24
Dashain,2022,2079-06-19,2022-10-05
Dashain,2021,2078-06-29,2021-10-15
Dashain,2020,2077-07-10,2020-10-26
Dashain,2019,2076-06-21,2019-10-08
Dashain,2018,2075-07-02,2018-10-19
Dashain,2017,2074-06-14,2017-09-30
Dashain,2016,2073-06-25,2016-10-11
Dashain,2015,2072-07-05,2015-10-22
Dashain,2014,2071-06-16,2014-10-03
Dashain,2013,2070-06-28,2013-10-15
Dashain,2012,2069-06-22,2012-10-24
Dashain,2011,2068-06-19,2011-10-06
General Election,2022,2082-08-05,2025-11-20
Governor Change (Dr. Biswo Nath Poudel),2025,2082-02-07,2025-05-20
First Lockdown Start,2020,2077-01-03,2020-04-15
First Lockdown End,2020,2077-01-15,2020-04-27
Second Lockdown Start,2021,2078-01-16,2021-04-29
Second Lockdown End,2021,2078-01-30,2021-05-13
New Finance minister- Surendra Pandey,2009,2066-02-11,2009-05-25
New Finance minister- Bharat Mohan Adhikari,2011,2067-10-23,2011-02-06
New Finance minister- Barsaman Pun,2011,2068-05-18,2011-09-04
New Finance minister- Shanker Prasad Koirala,2013,2069-12-05,2013-03-18
New Finance minister- Ram Saran Mahat,2014,2070-11-13,2014-02-25
New Finance minister- Bishnu Prasad Paudel,2015,2072-07-19,2015-11-05
New Finance minister- Krishna Bahadur Mahara,2016,2073-04-20,2016-08-04
New Finance minister- Gyanendra Bahadur Karki,2017,2074-02-24,2017-06-07
New Finance minister- Yuba Raj Khatiwada,2018,2074-12-02,2018-03-16
New Finance minister- Bishnu Prasad Paudel,2020,2077-06-28,2020-10-14
New Finance minister- Janardan Sharma,2021,2078-03-29,2021-07-13
New Finance minister- Bishnu Prasad Paudel,2022,2079-09-11,2022-12-26
New Finance minister- Dr. Prakash Sharan Mahat,2023,2079-12-17,2023-03-31
New Finance minister- Barsaman Pun,2024,2080-11-23,2024-03-06
New Finance minister- Bishnu Prasad Paudel,2024,2081-03-32,2024-07-15
