S.N.,Open,High,Low,Close,Change,Per Change (%),Percentage change,Turnover,Date
1,"2,723.81","2,732.75","2,702.25","2,719.77",-6.56,-0.24,-0.24,"5,144,322,258.75",9/4/2025
2,"2,744.33","2,749.88","2,724.99","2,726.33",-15.64,-0.57,-0.57,"4,728,052,860.97",9/3/2025
3,"2,777.38","2,791.67","2,741.46","2,741.97",-19.89,-0.72,-0.72,"4,438,251,812.70",9/2/2025
4,"2,768.39","2,773.69","2,741.39","2,761.86",12.03,0.43,0.44,"5,105,746,657.64",9/1/2025
5,"2,784.12","2,784.56","2,745.69","2,749.83",-31.17,-1.12,-1.12,"6,061,822,379.10",8/31/2025
6,"2,820.00","2,824.85","2,778.92","2,781.00",-38.1,-1.35,-1.35,"8,095,610,445.99",8/28/2025
7,"2,781.32","2,822.79","2,767.77","2,819.10",53.01,1.91,1.92,"7,683,386,441.70",8/27/2025
8,"2,764.30","2,775.09","2,760.73","2,766.09",4.83,0.17,0.17,"4,185,315,734.37",8/26/2025
9,"2,740.30","2,764.95","2,730.74","2,761.26",21.31,0.77,0.78,"5,753,219,652.78",8/25/2025
10,"2,754.57","2,770.80","2,737.85","2,739.95",-18.02,-0.65,-0.65,"6,548,638,335.92",8/24/2025
11,"2,767.51","2,775.34","2,756.85","2,757.97",-9.23,-0.33,-0.33,"5,020,104,816.55",8/21/2025
12,"2,773.36","2,783.02","2,766.64","2,767.20",-9.7,-0.34,-0.35,"5,200,753,868.01",8/20/2025
13,"2,769.39","2,796.88","2,769.23","2,776.90",6.51,0.23,0.23,"5,636,548,038.26",8/19/2025
14,"2,760.55","2,779.68","2,755.88","2,770.39",9.17,0.33,0.33,"6,179,855,209.52",8/18/2025
15,"2,789.85","2,803.25","2,761.37","2,761.22",-27.14,-0.97,-0.97,"7,735,195,094.63",8/17/2025
16,"2,789.54","2,802.14","2,784.15","2,788.36",2.62,0.09,0.09,"7,464,177,704.29",8/14/2025
17,"2,799.13","2,813.59","2,784.49","2,785.74",-10.5,-0.37,-0.38,"6,161,894,734.55",8/13/2025
18,"2,824.00","2,828.57","2,796.56","2,796.24",-26.22,-0.92,-0.93,"6,918,983,507.82",8/12/2025
