,Unnamed: 0,company.name,company.code,company.cat
0,0,Api Finance Limited,xAFL,Finance Company
1,2,Axis Development Bank Limited,xADBL,Development Bank
2,3,Bank of Asia Nepal Limited,xBOANL,Commercial Bank
3,5,Bhrikuti Vikash Bank Limited,xBVBL,Commercial Bank
4,7,Business Universal Development Bank Ltd.,xBUDBL,Development Bank
5,13,Deva Bikas Bank Limited,xDBBL,Development Bank
6,17,Fewa Bikas Bank Ltd. Promoter Share,xFBBLPS,Promoter Share
7,19,Gorkha Finance Ltd.,xGFL,Finance Company
8,20,Grand Bank Nepal Limited,xGBNL,Commercial Bank
9,21,Gurkha Development Bank Limited,xGDBL,Development Bank
10,25,Infrastructure Development Bank Ltd.,xIDBL,Development Bank
11,26,Kailash Bikas Bank Ltd.,xKBBL,Development Bank
12,27,Kaski Finance Limited,xKFL,Finance Company
13,29,Lumbini Bank Limited,xLBL,Commercial Bank
14,32,Madhyamanchal Gramin Development Bank Ltd.,xMGDBL,Development Bank
15,33,Mahalaxmi BikasBank Limited,xMBL,Development Bank
16,36,Narayani National Finance Limited,xNNFL,Finance Company
17,43,Om Finance Ltd.,xOFL,Finance Company
18,44,Paschimanchal Finance Co. Ltd.,xPFCL,Finance Company
19,48,Public Development Bank Limited,xPDBL,Development Bank
20,50,Sagarmatha  Finance Limited,xSFL,Finance Company
21,55,Siddhartha Development Bank Ltd.,xSDBL,Development Bank
22,58,Supreme Development Bank Ltd.,xSDBL,Development Bank
23,59,Ace Development Bank Ltd.,xADBL,Development Bank
24,70,Clean Energy Development Bank Limited,xCEDBL,Development Bank
25,74,Fewa Finance Co. Ltd.,xFFCL,Finance Company
26,88,Mahakali Bikas Bank Limited,xMBBL,Development Bank
27,107,Shikhar Finance Limited,xSFL,Finance Company
28,138,IME Financial Institution,xIFI,Undetermined
29,139,Imperial Financial Inst. Ltd.,xIFIL,Undetermined
30,142,Lord Buddha Finance Limited,xLBFL,Finance Company
31,171,Standard Finance Ltd.,xSFL,Finance Company
32,211,Nepal Express Finance Ltd.,xNEFL,Finance Company
33,222,Reliable Development Bank Limited,xRDBL,Development Bank
34,240,Biratlaxmi Bikas Bank Limited,xBBBL,Development Bank
35,273,Patan Finance Limited,xPFL,Finance Company
36,324,NABIL Bank Limited Promotor Share,xNBLPS,Promoter Share
37,343,Siddhartha Development Bank Limited Promoter Share,xSDBLPS,Promoter Share
38,349,Alpic Everest Finance Co. Ltd.,xAEFCL,Finance Company
39,392,Pathibhara Bikas Bank Limited,xPBBL,Development Bank
40,413,Bhrikuti Bikash Bank Limited Promoter Share,xBBBLPS,Promoter Share
41,441,Lumbini Finance Ltd.,xLFL,Finance Company
42,481,Civil Merchant Bittiya Santha Ltd.,xCMBSL,Undetermined
43,531,Alpic Everest Finance Limited Promotor Share,xAEFLPS,Promoter Share
44,572,Nepal Shree Lanka Merchant Banking & Finance Ltd,xNSLMBFL,Finance Company
45,574,NIDC Capital Markets Ltd.,xNCML,Undetermined
46,577,Peoples Finance Ltd.,xPFL,Finance Company
47,596,Universal Finance Ltd.,xUFL,Finance Company
48,652,Triveni Bikas Bank Limited,xTBBL,Development Bank
49,654,Apex Development Bank Ltd.,xADBL,Development Bank
50,656,Bagheshwori Development Bank Limited,xBDBL,Development Bank
51,731,Gandaki Bikas BankLimited,xGBB,Development Bank
52,853,Gorkha Finance Limited Promoter Share,xGFLPS,Promoter Share
