,company.name,company.code
0,Api Finance Limited,
2,Axis Development Bank Limited,
3,Bank of Asia Nepal Limited,
5,Bhrikuti Vikash Bank Limited,
7,Business Universal Development Bank Ltd.,
13,Deva Bikas Bank Limited,
17,Fewa Bikas Bank Ltd. Promoter Share,
19,Gorkha Finance Ltd.,
20,Grand Bank Nepal Limited,
21,Gurkha Development Bank Limited,
25,Infrastructure Development Bank Ltd.,
26,Kailash Bikas Bank Ltd.,
27,Kaski Finance Limited,
29,Lumbini Bank Limited,
32,Madhyamanchal Gramin Development Bank Ltd.,
33,Mahalaxmi BikasBank Limited,
36,Narayani National Finance Limited,
43,Om Finance Ltd.,
44,Paschimanchal Finance Co. Ltd.,
48,Public Development Bank Limited,
50,Sagarmatha  Finance Limited,
55,Siddhartha Development Bank Ltd.,
58,Supreme Development Bank Ltd.,
59,Ace Development Bank Ltd.,
70,Clean Energy Development Bank Limited,
74,Fewa Finance Co. Ltd.,
88,Mahakali Bikas Bank Limited,
107,Shikhar Finance Limited,
138,IME Financial Institution,
139,Imperial Financial Inst. Ltd.,
142,Lord Buddha Finance Limited,
171,Standard Finance Ltd.,
211,Nepal Express Finance Ltd.,
222,Reliable Development Bank Limited,
240,Biratlaxmi Bikas Bank Limited,
273,Patan Finance Limited,
324,NABIL Bank Limited Promotor Share,
343,Siddhartha Development Bank Limited Promoter Share,
349,Alpic Everest Finance Co. Ltd.,
392,Pathibhara Bikas Bank Limited,
413,Bhrikuti Bikash Bank Limited Promoter Share,
441,Lumbini Finance Ltd.,
481,Civil Merchant Bittiya Santha Ltd.,
531,Alpic Everest Finance Limited Promotor Share,
572,Nepal Shree Lanka Merchant Banking & Finance Ltd,
574,NIDC Capital Markets Ltd.,
577,Peoples Finance Ltd.,
596,Universal Finance Ltd.,
652,Triveni Bikas Bank Limited,
654,Apex Development Bank Ltd.,
656,Bagheshwori Development Bank Limited,
731,Gandaki Bikas BankLimited,
853,Gorkha Finance Limited Promoter Share,
874,Nepal Bangladesh Bank Limited Promoter Share,
940,Nava Durga Finance Co. Ltd.,
945,Nepal Housing & Merchant Finance Ltd.,
951,Paschimanchal Bikash Bank Limited,
1036,Bank of Kathmandu Limited Promoter Share,
1059,Kumari Bank Limited Promotor Share,
1071,Nepal Aawas Finance Limited,
1086,Premier Finance Co. Ltd.,
1100,Subhechha Bikas Bank Limited,
1149,Prudential Finance Company Limited,
1161,Society Development Bank Ltd.,
1172,Birgunj Finance Ltd.,
1199,Maha Laxmi Finance Ltd.,
1455,CMB Finance Limited,
1513,Yeti Finance Ltd.,
1567,Sanima Bank Ltd. Promoter Share,
1702,Resunga Bikas Bank Limited,
1720,Capital Merchant Bank. & Fin. Promoter Share,
1798,Gurkhas Finance  Ltd. Promoter Share,
1912,Siddharth Finance Ltd.,
1919,Union Finance Co. Ltd.,
2028,NCM Mutual Fund,
2079,Everest Finance Ltd.,
2101,Nepal Credit & Commercial Bank Ltd. Promoter Share,
2131,Universal Finance Limited Promoter Share,
2161,Kasthamandap Development Bank Limited,
2579,Pokhara Finance Company Limited Promoter Share,
2769,NMB Bank Limited Promoter Share,
2813,Goodwill Finance Limited Promoter,
2946,Infrastructure Development Bank Limited Promoter Share,
3043,Progressive Finance Limited Promoter Share,
3455,Royal Merchant Bank & Finance Co. Ltd. Promoter Share,
3664,Best Finance Co. Limited Promoter Share,
4188,Narayani National Finance Company Limited Promoter Share,
4396,Paschimanchal Bikash Bank Ltd. Promoter Share,
4728,Peoples Finance Limited Promoter Share,
5377,Malika Development Bank Limited Promoter Share,
5438,Lumbini Bank Limited Promotor Share,
5632,ICFC Finance Limited Promotor Share,
6091,Bhajuratna Finance & Saving Co. Ltd.,
6849,Standard Finance Limited Promoter Share,
7429,Nilgiri Bikas Bank Limited,
7780,Suryadarshan Finance Company Limited,
7836,Alpine Development Bank Limited,
