,company.code,company.name,company.cat
0,AHPC,Arun Valley Hydropower Development Co. Ltd.,Hydro Power
1,BOKL,Bank of Kathmandu Ltd.,Commercial Banks
2,BBC,Bishal Bazar Company Limited,Tradings
3,BPCL,Butwal Power Company Limited,Hydro Power
4,CMB,Capital Merchant Bank & Finance Co. Ltd.,Finance
5,CHCL,Chilime Hydropower Company Limited,Hydro Power
6,CZBIL,Citizen Bank International Limited,Commercial Banks
7,CFL,Crystal Finance Ltd.,Finance
8,EBLCP,Everest Bank Limited Con. Pref.,Preferred Stock
9,EIC,Everest Insurance Co. Ltd.,Non Life Insurance
10,EDBL,Excel Development Bank Ltd.,Development Banks
11,GBILD86/87,Global IME Bank Limited Debenture 2086/87,Corporate Debenture
12,GUFL,Gurkhas Finance Ltd.,Finance
13,HBL,Himalayan Bank Limited,Commercial Banks
14,ICFC,ICFC Finance Limited,Finance
15,KBL,Kumari Bank Limited,Commercial Banks
16,LBBL,Lumbini Bikas Bank Ltd.,Development Banks
17,LGIL,Lumbini General Insurance Co. Ltd.,Non Life Insurance
18,MDB,Miteri Development Bank Limited,Development Banks
19,NABIL,Nabil Bank Limited,Commercial Banks
20,NHPC,National Hydro Power Company Limited,Hydro Power
21,NBB,Nepal Bangladesh Bank Limited,Commercial Banks
22,NTC,Nepal Doorsanchar Comapany Limited,Others
23,NIB,Nepal Investment Bank Limited,Commercial Banks
24,SBI,Nepal SBI Bank Limited,Commercial Banks
25,NICA,NIC Asia Bank Ltd.,Commercial Banks
26,PFL,Pokhara Finance Ltd.,Finance
27,PRVU,Prabhu  Bank Limited,Commercial Banks
28,PCBL,Prime Commercial Bank Ltd.,Commercial Banks
29,RBCL,Rastriya Beema Company Limited,Non Life Insurance
30,SBBLJ,Sahayogi Bikas Bank Limited,Development Banks
31,SICL,Shikhar Insurance Co. Ltd.,Non Life Insurance
32,SIFC,Shree Investment Finance Co. Ltd.,Finance
33,SBL,Siddhartha Bank Limited,Commercial Banks
34,SCB,Standard Chartered Bank Limited,Commercial Banks
35,SRBL,Sunrise Bank Limited,Commercial Banks
36,GFCL,Goodwill Finance Limited,Finance
37,LFC,Lalitpur Finance Ltd.,Finance
38,MBL,Machhapuchhre Bank Limited,Commercial Banks
39,NMB,NMB Bank Limited,Commercial Banks
40,PROFL,ProgressiveFinance Limited,Finance
41,SANIMA,Sanima Bank Limited,Commercial Banks
42,SIL,Siddhartha Insurance Ltd.,Non Life Insurance
43,CIT,Citizen Investment Trust,Investment
44,OHL,Oriental Hotels Limited,Hotels
45,SFCL,Samriddhi Finance Company Limited,Finance
