Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
1,2025-08-24,131,NABIL,Nabil Bank Limited,520,520,513.1,,30128,15527778.2,518.14,668,474.1,2025-08-24T12:48:51.464496,513.5,257,515.39,
2,2025-08-24,132,NIMB,Nepal Investment Mega Bank Limited,211,213.5,211,,25317,5353017.4,212.08,284.6,201,2025-08-24T12:47:25.39085,211,117,211.43,
3,2025-08-24,133,SCB,Standard Chartered Bank Limited,624,626.9,624,,2028,1268669.3,626.12,790,597.1,2025-08-24T12:43:57.588344,626,47,625.57,
4,2025-08-24,134,HBL,Himalayan Bank Limited,214,214,210.1,,32373,6843930.6,213.02,310,210,2025-08-24T12:45:42.067973,212,126,211.4,
5,2025-08-24,135,SBI,Nepal SBI Bank Limited,385,390,385,,6685,2577657.8,385.29,549,372.2,2025-08-24T12:47:08.514302,385,38,385.58,
6,2025-08-24,137,EBL,Everest Bank Limited,748,754,740,,30613,22761997.9,747.77,790,567,2025-08-24T12:50:08.275759,740,238,743.54,
7,2025-08-24,139,NICA,NIC Asia Bank Ltd.,348.2,349.5,345,,34832,12089702.4,348.38,542.6,333,2025-08-24T12:50:20.950121,346.5,149,347.08,
8,2025-08-24,140,MBL,Machhapuchhre Bank Limited,249.8,249.8,247,,10806,2674871,247.29,290,208.6,2025-08-24T12:43:18.905019,247,36,247.53,
9,2025-08-24,141,LSL,Laxmi Sunrise Bank Limited,236,239,235,,14400,3398498.1,236.77,291,201,2025-08-24T12:41:14.466141,236.2,55,236,
10,2025-08-24,142,KBL,Kumari Bank Limited,202.9,203.9,201,,55723,11256613.1,201.85,264,192.1,2025-08-24T12:48:49.496745,201.7,225,202.01,
11,2025-08-24,145,SBL,Siddhartha Bank Limited,367,367,360,,21416,7736526,364.44,408,261,2025-08-24T12:43:54.558323,363,37,361.24,
12,2025-08-24,147,SHL,Soaltee Hotel Limited,569,572,561.2,,7288,4117692.2,563.63,619,455,2025-08-24T12:30:33.320696,564,31,564.99,
13,2025-08-24,148,TRH,Taragaon Regency Hotel Limited,960,970,955,,1122,1079499,956.83,1538,898,2025-08-24T12:42:55.411201,970,11,962.12,
14,2025-08-24,149,OHL,Oriental Hotels Limited,864,864,851.2,,1084,926156.8,862.03,1164.9,838.9,2025-08-24T12:30:53.380747,852.1,15,854.38,
15,2025-08-24,152,NHPC,National Hydro Power Company Limited,211,211,208.1,,10542,2210380.1,209.02,268,195.2,2025-08-24T12:43:18.668832,209,62,209.67,
16,2025-08-24,153,BPCL,Butwal Power Company Limited,820,831,818.1,,44449,36500778.6,825.98,1065,375.1,2025-08-24T12:49:44.38825,818.9,141,821.18,
17,2025-08-24,154,CHCL,Chilime Hydropower Company Limited,510.2,514,508,,19315,9850471,511.59,647,469.7,2025-08-24T12:43:59.230717,510,95,509.99,
18,2025-08-24,155,STC,Salt Trading Corporation,5101,5199.9,5101,,1096,5695623,5170.03,6700,4905.1,2025-08-24T12:40:53.261939,5199,11,5196.73,
19,2025-08-24,156,BBC,Bishal Bazar Company Limited,5409.5,5409.6,5325,,60,321958,5321.86,7247,4010,2025-08-24T12:35:44.601144,5330,6,5365.96,
20,2025-08-24,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,799,805.8,795,,10821,8650109.5,790.2,875,650,2025-08-24T12:47:04.103756,801,72,799.38,
